miRNA,normal_mean,tumor_mean,log2FC,pvalue,stat,padj
MIMAT0002844,0.7587461538461537,2.0471722891566264,1.4319433207310908,,,
MIMAT0002846,0.2384,1.9242,3.0128026187006416,,,
MIMAT0002847,0.7709999999999998,1.9014391608391608,1.3022890134421845,,,
MIMAT0002848,0.5514111111111111,1.9236583333333337,1.8026523369901337,,,
MIMAT0002849,0.2119333333333333,1.5751893333333336,2.8938428260591333,,,
MIMAT0002850,0.2893,1.3027163265306123,2.170884735139908,,,
MIMAT0002851,0.977225,2.480701886792453,1.3439856956159706,,,
MIMAT0002852,1.624723076923077,2.1234006369426757,0.38618275888573417,,,
MIMAT0002853,0.4215666666666667,1.872616393442623,2.151222690423526,,,
MIMAT0002854,0.1994,1.2747305084745764,2.6764549634652,,,
MIMAT0002855,0.17706666666666668,1.545672,3.125869652935414,,,
MIMAT0002856,0.36246,1.7157009523809523,2.242904414690423,,,
MIMAT0002857,1.624723076923077,2.1233942675159234,0.38617843132078444,,,
MIMAT0002858,0.3724571428571428,2.004628125,2.428188294577094,,,
MIMAT0002859,0.48064285714285715,1.9555420689655174,2.0245313735646047,,,
MIMAT0002861,0.5923222222222222,1.969634513274336,1.7334738290195277,,,
MIMAT0002862,0.4105857142857143,1.8549724137931034,2.1756423949565997,,,
MIMAT0002863,0.5583714285714285,1.8755437499999996,1.7480118895429753,,,
MIMAT0002864,0.1927,1.0925478260869566,2.503267958080982,,,
MIMAT0002866,0.40235,1.6914353658536585,2.0717251112479635,,,
MIMAT0002867,0.28315999999999997,1.953522641509434,2.7863885909328117,,,
MIMAT0002868,0.3772285714285714,1.8503956043956042,2.2943228884681726,,,
MIMAT0002869,0.5205454545454545,1.7096198113207546,1.715579479665307,,,
MIMAT0002870,0.8578818181818182,0.9059870967741936,0.07871158759159558,,,
MIMAT0002871,7.249836734693878,8.436115902964959,0.21863041010926443,1.2188816611963541e-16,-8.281250811342133,
MIMAT0002872,1.3413244897959185,2.1031486486486486,0.6488925294908139,,,
