source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
REAC,REAC:R-HSA-1855204,Synthesis of IP3 and IP4 in the cytosol,1.0,False,Synthesis of IP3 and IP4 in the cytosol,26,1811,8,10916,0.004417448923246825,0.3076923076923077,query_1,['REAC:R-HSA-1483249'],"['ITPKB', 'INPPL1', 'PLCD1', 'PLCG2', 'PLCE1', 'PLCD3', 'PLD4', 'ITPK1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-69239,Synthesis of DNA,1.0,False,Synthesis of DNA,121,1811,10,10916,0.005521811154058531,0.08264462809917356,query_1,"['REAC:R-HSA-69242', 'REAC:R-HSA-69306']","['PSMC4', 'CDC23', 'CCNA1', 'POLD4', 'ORC4', 'PSME1', 'GMNN', 'PSMA7', 'PSMB9', 'CCNE2']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-211736,Stimulation of the cell death response by PAK-2p34,1.0,False,Stimulation of the cell death response by PAK-2p34,2,1811,1,10916,0.0005521811154058532,0.5,query_1,['REAC:R-HSA-75153'],['CASP3'],[['REAC']]
REAC,REAC:R-HSA-2672351,Stimuli-sensing channels,1.0,False,Stimuli-sensing channels,105,1811,20,10916,0.011043622308117063,0.19047619047619047,query_1,['REAC:R-HSA-983712'],"['CASQ1', 'CLCN2', 'CLCN3', 'CLCN6', 'CLIC2', 'TSC22D3', 'RYR2', 'SCNN1D', 'TRPC1', 'TRDN', 'SLC17A3', 'CLCA4', 'TPCN1', 'TRPM4', 'ANO1', 'ASIC4', 'TRPV4', 'ANO3', 'TRPM8', 'TTYH2']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-390522,Striated Muscle Contraction,1.0,False,Striated Muscle Contraction,36,1811,8,10916,0.004417448923246825,0.2222222222222222,query_1,['REAC:R-HSA-397014'],"['TPM1', 'TPM3', 'TNNC1', 'TNNI1', 'TNNT2', 'TMOD4', 'TMOD2', 'MYBPC1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-1614517,Sulfide oxidation to sulfate,1.0,False,Sulfide oxidation to sulfate,6,1811,1,10916,0.0005521811154058532,0.16666666666666666,query_1,['REAC:R-HSA-1614558'],['TSTD1'],[['REAC']]
REAC,REAC:R-HSA-1614635,Sulfur amino acid metabolism,1.0,False,Sulfur amino acid metabolism,28,1811,5,10916,0.0027609055770292656,0.17857142857142858,query_1,['REAC:R-HSA-71291'],"['CTH', 'MAT1A', 'TSTD1', 'MTAP', 'CBS']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
REAC,REAC:R-HSA-9669934,Sunitinib-resistant KIT mutants,1.0,False,Sunitinib-resistant KIT mutants,1,1811,1,10916,0.0005521811154058532,1.0,query_1,['REAC:R-HSA-9669937'],['KIT'],[['REAC']]
REAC,REAC:R-HSA-9674401,Sunitinib-resistant PDGFR mutants,1.0,False,Sunitinib-resistant PDGFR mutants,1,1811,1,10916,0.0005521811154058532,1.0,query_1,['REAC:R-HSA-9674415'],['PDGFRA'],[['REAC']]
REAC,REAC:R-HSA-9635465,Suppression of apoptosis,1.0,False,Suppression of apoptosis,7,1811,4,10916,0.0022087244616234127,0.5714285714285714,query_1,['REAC:R-HSA-9637690'],"['MAPK1', 'RNF213', 'TRIM27', 'MAPK3']","[['REAC'], ['REAC'], ['REAC'], ['REAC']]"
